time,ECG,BR
1.86,1.504,30.1
1.865,1.474,30.2
1.87,1.49,30.1
1.875,1.533,30.1
1.88,1.506,30.1
1.885,1.485,30.1
1.89,1.511,30.1
1.895,1.555,30.1
1.9,1.522,30.1
1.905,1.493,30.1
1.91,1.52,30.1
1.915,1.579,30.1
1.92,1.571,30
1.925,1.561,30
1.93,1.59,30.1
1.935,1.634,30.1
1.94,1.606,30.2
1.945,1.564,30.1
1.95,1.571,30.1
1.955,1.603,30.1
1.96,1.556,30
1.965,1.504,30
1.97,1.498,30
1.975,1.53,30
1.98,1.503,30
1.985,1.476,30
1.99,1.498,30
1.995,1.544,30
2,1.528,30.1
2.005,1.5,30.1
2.01,1.515,30
2.015,1.555,30
2.02,1.526,30
2.025,1.496,30
2.03,1.509,30
2.035,1.55,30
2.04,1.506,30
2.045,1.416,30
2.05,1.377,30
2.055,1.453,30
2.06,1.605,30
2.065,1.859,30
2.07,2.301,30
2.075,2.767,30
2.08,3.027,30
2.085,3.032,30
2.09,2.891,29.9
2.095,2.529,29.9
2.1,1.778,29.9
2.105,1.215,30
2.11,0.962,30
2.115,0.882,30
2.12,0.864,30
2.125,0.855,30
2.13,0.851,30
2.135,0.878,29.9
2.14,0.894,30
2.145,0.89,29.9
2.15,0.874,29.9
2.155,0.935,30
2.16,0.958,30
2.165,1.038,30
2.17,1.217,29.9
2.175,1.443,29.9
2.18,1.575,29.9
2.185,1.657,30
2.19,1.716,30
2.195,1.77,30
2.2,1.75,30
2.205,1.737,30
2.21,1.762,29.9
2.215,1.803,29.9
2.22,1.786,29.9
2.225,1.774,29.8
2.23,1.787,29.9
2.235,1.825,30
2.24,1.809,30
2.245,1.786,30
2.25,1.806,30
2.255,1.857,30
2.26,1.846,29.9
2.265,1.84,29.9
2.27,1.867,29.9
2.275,1.924,29.9
2.28,1.914,29.9
2.285,1.913,30
2.29,1.953,29.9
2.295,2.015,30
2.3,2.017,29.9
2.305,2.019,29.9
2.31,2.064,29.9
2.315,2.123,29.9
2.32,2.117,29.9
2.325,2.107,29.8
2.33,2.147,29.9
2.335,2.206,29.9
2.34,2.19,29.9
2.345,2.164,29.9
2.35,2.166,30
2.355,2.184,29.9
2.36,2.125,30
2.365,2.058,30
2.37,2.029,29.9
2.375,2.023,29.9
2.38,1.947,29.9
2.385,1.869,29.8
2.39,1.842,29.8
2.395,1.833,29.9
2.4,1.766,29.8
2.405,1.705,29.8
2.41,1.681,29.8
2.415,1.687,29.9
2.42,1.637,29.9
2.425,1.585,29.9
2.43,1.572,29.9
2.435,1.589,29.9
2.44,1.553,29.9
2.445,1.511,29.9
2.45,1.514,29.9
2.455,1.545,29.9
2.46,1.51,29.9
2.465,1.481,29.9
2.47,1.494,29.9
2.475,1.533,29.9
2.48,1.504,29.9
2.485,1.477,29.8
2.49,1.496,29.8
2.495,1.537,29.8
2.5,1.504,29.8
2.505,1.474,29.8
2.51,1.482,29.8
2.515,1.522,29.8
2.52,1.489,29.8
2.525,1.461,29.8
2.53,1.482,29.8
2.535,1.526,29.8
2.54,1.492,29.8
2.545,1.46,29.8
2.55,1.478,29.8
2.555,1.52,29.8
2.56,1.496,29.9
2.565,1.467,29.8
2.57,1.48,29.8
2.575,1.51,29.8
2.58,1.478,29.8
2.585,1.452,29.8
2.59,1.464,29.8
2.595,1.502,29.8
2.6,1.476,29.8
2.605,1.454,29.8
2.61,1.467,29.9
2.615,1.505,29.8
2.62,1.478,29.8
2.625,1.452,29.8
2.63,1.47,29.8
2.635,1.51,29.8
2.64,1.484,29.9
2.645,1.46,29.9
2.65,1.476,29.8
2.655,1.516,29.9
2.66,1.489,29.8
2.665,1.463,29.8
2.67,1.484,29.8
2.675,1.525,29.8
2.68,1.498,29.8
2.685,1.469,29.8
2.69,1.485,29.9
2.695,1.526,29.8
2.7,1.5,29.9
2.705,1.476,29.9
2.71,1.478,29.9
2.715,1.514,29.9
2.72,1.496,29.9
2.725,1.473,29.8
2.73,1.493,29.8
2.735,1.538,29.8
2.74,1.52,29.8
2.745,1.503,29.9
2.75,1.524,29.9
2.755,1.563,29.9
2.76,1.526,29.9
2.765,1.501,29.9
2.77,1.533,29.9
2.775,1.583,29.9
2.78,1.572,29.8
2.785,1.567,29.7
2.79,1.591,29.7
2.795,1.63,29.7
2.8,1.601,29.7
2.805,1.564,29.7
2.81,1.571,29.8
2.815,1.599,29.8
2.82,1.552,29.8
2.825,1.498,29.9
2.83,1.496,29.9
2.835,1.53,29.8
2.84,1.511,29.8
2.845,1.49,29.7
2.85,1.502,29.7
2.855,1.542,29.7
2.86,1.516,29.7
2.865,1.494,29.7
2.87,1.514,29.8
2.875,1.556,29.7
2.88,1.533,29.8
2.885,1.507,29.9
2.89,1.522,29.8
2.895,1.561,29.9
2.9,1.518,29.8
2.905,1.449,29.8
2.91,1.404,29.9
2.915,1.43,29.8
2.92,1.53,29.8
2.925,1.745,29.8
2.93,2.132,29.8
2.935,2.604,29.8
2.94,2.921,29.8
2.945,3,29.8
2.95,2.908,29.7
2.955,2.669,29.7
2.96,2.004,29.8
2.965,1.341,29.8
2.97,1.024,29.8
2.975,0.903,29.8
2.98,0.85,29.8
2.985,0.851,29.9
2.99,0.861,29.9
2.995,0.893,29.9
3,0.878,29.8
3.005,0.897,29.8
3.01,0.888,29.8
3.015,0.935,29.9
3.02,0.937,29.8
3.025,1.006,29.9
3.03,1.168,29.9
3.035,1.39,29.8
3.04,1.536,29.8
3.045,1.636,29.7
3.05,1.706,29.7
3.055,1.762,29.7
3.06,1.751,29.8
3.065,1.73,29.8
3.07,1.755,29.8
3.075,1.803,29.8
3.08,1.778,29.8
3.085,1.754,29.7
3.09,1.774,29.7
3.095,1.823,29.8
3.1,1.81,29.7
3.105,1.794,29.8
3.11,1.81,29.8
3.115,1.855,29.7
3.12,1.841,29.8
3.125,1.831,29.7
3.13,1.855,29.8
3.135,1.903,29.8
3.14,1.894,29.7
3.145,1.886,29.7
3.15,1.926,29.6
3.155,1.987,29.6
3.16,1.989,29.7
3.165,1.995,29.8
3.17,2.033,29.8
3.175,2.097,29.8
3.18,2.101,29.7
3.185,2.102,29.7
3.19,2.137,29.7
3.195,2.196,29.7
3.2,2.178,29.7
3.205,2.155,29.6
3.21,2.168,29.6
3.215,2.192,29.6
3.22,2.143,29.6
3.225,2.083,29.7
3.23,2.055,29.7
3.235,2.045,29.7
3.24,1.97,29.6
3.245,1.901,29.6
3.25,1.875,29.6
3.255,1.866,29.6
3.26,1.792,29.6
3.265,1.734,29.6
3.27,1.722,29.7
3.275,1.722,29.7
3.28,1.663,29.7
3.285,1.603,29.6
3.29,1.595,29.6
3.295,1.614,29.5
3.3,1.57,29.5
3.305,1.526,29.5
3.31,1.528,29.5
3.315,1.559,29.5
3.32,1.526,29.6
3.325,1.5,29.5
3.33,1.509,29.5
3.335,1.541,29.5
3.34,1.516,29.4
3.345,1.485,29.4
3.35,1.502,29.4
3.355,1.53,29.3
3.36,1.496,29.3
3.365,1.468,29.3
3.37,1.482,29.2
3.375,1.525,29.2
3.38,1.506,29.1
3.385,1.484,29.1
3.39,1.488,29.1
3.395,1.516,29.1
3.4,1.49,29.1
3.405,1.47,29.1
3.41,1.482,29
3.415,1.518,28.9
3.42,1.49,28.9
3.425,1.457,28.9
3.43,1.468,28.9
3.435,1.506,28.9
3.44,1.482,28.9
3.445,1.461,29
3.45,1.471,28.9
3.455,1.503,28.8
3.46,1.478,28.8
3.465,1.447,28.8
3.47,1.459,28.8
3.475,1.496,28.8
3.48,1.472,28.8
3.485,1.444,28.7
3.49,1.458,28.7
